;Тип товара;Полное наименование;МНН;Лекарственная форма;Бренд;Фирма_производитель;Корпорация;Фармакотерапевтическая группа;АТС1;АТС2;АТС3;АТС4;АТС5;Ephmra1;Ephmra2;Ephmra3;Ephmra4;Год;Месяц;Объем1;Объем2;Объем3;Цена;Свыше_1500;размер_500до1500;до_500
5;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;ЛЕМТРАДА КОНЦ-Т Д/ПРИГ-Я РАСТ Д/ИНФ 10 МГ/МЛ 1,2 МЛ №1;АЛЕМТУЗУМАБ;КОНЦЕНТРАТ ДЛЯ ПРИГОТОВЛЕНИЯ РАСТВОРА ДЛЯ ИНФУЗИЙ;ЛЕМТРАДА;GENZYME CORPORATION;SANOFI SA;СЕЛЕКТИВНЫЙ ИММУНОДЕПРЕССАНТ;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОДЕПРЕССАНТЫ (L04);ИММУНОДЕПРЕССАНТЫ (L04A);ИММУНОДЕПРЕССАНТЫ СЕЛЕКТИВНЫЕ (L04AA);АЛЕМТУЗУМАБ (L04AA34);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ (L01);МОНОКЛОНАЛЬНОЕ АНТИТЕЛО ПРОТИВООПУХОЛЕВОЕ (L01G);;2022;3;1680293.4;1451.0;1514144.0;1043.5175740868367;недостаток;входит;избыток
8;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;ЛЕМТРАДА КОНЦ-Т Д/ПРИГ-Я РАСТ Д/ИНФ 10 МГ/МЛ 1,2 МЛ №1;АЛЕМТУЗУМАБ;КОНЦЕНТРАТ ДЛЯ ПРИГОТОВЛЕНИЯ РАСТВОРА ДЛЯ ИНФУЗИЙ;ЛЕМТРАДА;GENZYME CORPORATION;SANOFI SA;СЕЛЕКТИВНЫЙ ИММУНОДЕПРЕССАНТ;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОДЕПРЕССАНТЫ (L04);ИММУНОДЕПРЕССАНТЫ (L04A);ИММУНОДЕПРЕССАНТЫ СЕЛЕКТИВНЫЕ (L04AA);АЛЕМТУЗУМАБ (L04AA34);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ (L01);МОНОКЛОНАЛЬНОЕ АНТИТЕЛО ПРОТИВООПУХОЛЕВОЕ (L01G);;2020;3;10985287.0;2157.0;10927490.0;5066.059341678257;избыток;избыток;избыток
16;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;ЛЕМТРАДА КОНЦ-Т Д/ПРИГ-Я РАСТ Д/ИНФ 10 МГ/МЛ 1,2 МЛ №1;АЛЕМТУЗУМАБ;КОНЦЕНТРАТ ДЛЯ ПРИГОТОВЛЕНИЯ РАСТВОРА ДЛЯ ИНФУЗИЙ;ЛЕМТРАДА;GENZYME CORPORATION;SANOFI SA;СЕЛЕКТИВНЫЙ ИММУНОДЕПРЕССАНТ;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОДЕПРЕССАНТЫ (L04);ИММУНОДЕПРЕССАНТЫ (L04A);ИММУНОДЕПРЕССАНТЫ СЕЛЕКТИВНЫЕ (L04AA);АЛЕМТУЗУМАБ (L04AA34);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ (L01);МОНОКЛОНАЛЬНОЕ АНТИТЕЛО ПРОТИВООПУХОЛЕВОЕ (L01G);;2018;10;7987143.8;1801.0;7916028.2;4395.351582454192;входит;избыток;избыток
21;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;ЛЕМТРАДА КОНЦ-Т Д/ПРИГ-Я РАСТ Д/ИНФ 10 МГ/МЛ 1,2 МЛ №1;АЛЕМТУЗУМАБ;КОНЦЕНТРАТ ДЛЯ ПРИГОТОВЛЕНИЯ РАСТВОРА ДЛЯ ИНФУЗИЙ;ЛЕМТРАДА;GENZYME CORPORATION;SANOFI SA;СЕЛЕКТИВНЫЙ ИММУНОДЕПРЕССАНТ;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОДЕПРЕССАНТЫ (L04);ИММУНОДЕПРЕССАНТЫ (L04A);ИММУНОДЕПРЕССАНТЫ СЕЛЕКТИВНЫЕ (L04AA);АЛЕМТУЗУМАБ (L04AA34);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ (L01);МОНОКЛОНАЛЬНОЕ АНТИТЕЛО ПРОТИВООПУХОЛЕВОЕ (L01G);;2021;4;3047093.6;1855.0;2718345.0;1465.4150943396226;недостаток;входит;избыток
71;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;ГЛАТИРАТ РАСТ Д/П/К ВВЕД 20 МГ/МЛ 1 МЛ №28;ГЛАТИРАМЕРА АЦЕТАТ;РАСТВОР ДЛЯ ПОДКОЖНОГО ВВЕДЕНИЯ;ГЛАТИРАТ;Р-ФАРМ АО;Р-ФАРМ АО;ИММУНОМОДУЛИРУЮЩЕЕ СРЕДСТВО;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИММУНОСТИМУЛЯТОРЫ ДРУГИЕ (L03AX);ГЛАТИРАМЕР АЦЕТАТ (L03AX13);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ ИСКЛЮЧАЯ ИНТЕРФЕРОНЫ (L03A);ПРОЧИЕ ИММУНОСТИМУЛИРУЮЩИЕ АГЕНТЫ, ИСКЛЮЧАЯ ИНТЕРФЕРОНЫ (L03A9);2019;5;35034648.0;3929.0;35034648.0;8916.9376431662;избыток;избыток;избыток
72;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;ГЛАТИРАТ РАСТ Д/П/К ВВЕД 20 МГ/МЛ 1 МЛ №28;ГЛАТИРАМЕРА АЦЕТАТ;РАСТВОР ДЛЯ ПОДКОЖНОГО ВВЕДЕНИЯ;ГЛАТИРАТ;Р-ФАРМ АО;Р-ФАРМ АО;ИММУНОМОДУЛИРУЮЩЕЕ СРЕДСТВО;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИММУНОСТИМУЛЯТОРЫ ДРУГИЕ (L03AX);ГЛАТИРАМЕР АЦЕТАТ (L03AX13);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ ИСКЛЮЧАЯ ИНТЕРФЕРОНЫ (L03A);ПРОЧИЕ ИММУНОСТИМУЛИРУЮЩИЕ АГЕНТЫ, ИСКЛЮЧАЯ ИНТЕРФЕРОНЫ (L03A9);2019;4;42841701.0;4373.0;42841701.0;9796.867367939629;избыток;избыток;избыток
76;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;ГЛАТИРАТ РАСТ Д/П/К ВВЕД 20 МГ/МЛ 1 МЛ №28;ГЛАТИРАМЕРА АЦЕТАТ;РАСТВОР ДЛЯ ПОДКОЖНОГО ВВЕДЕНИЯ;ГЛАТИРАТ;Р-ФАРМ АО;Р-ФАРМ АО;ИММУНОМОДУЛИРУЮЩЕЕ СРЕДСТВО;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИММУНОСТИМУЛЯТОРЫ ДРУГИЕ (L03AX);ГЛАТИРАМЕР АЦЕТАТ (L03AX13);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ ИСКЛЮЧАЯ ИНТЕРФЕРОНЫ (L03A);ПРОЧИЕ ИММУНОСТИМУЛИРУЮЩИЕ АГЕНТЫ, ИСКЛЮЧАЯ ИНТЕРФЕРОНЫ (L03A9);2020;4;27762484.0;1917.0;27762484.0;14482.255607720397;избыток;избыток;избыток
80;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;ГЛАТИРАТ РАСТ Д/П/К ВВЕД 20 МГ/МЛ 1 МЛ №28;ГЛАТИРАМЕРА АЦЕТАТ;РАСТВОР ДЛЯ ПОДКОЖНОГО ВВЕДЕНИЯ;ГЛАТИРАТ;Р-ФАРМ АО;Р-ФАРМ АО;ИММУНОМОДУЛИРУЮЩЕЕ СРЕДСТВО;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИММУНОСТИМУЛЯТОРЫ ДРУГИЕ (L03AX);ГЛАТИРАМЕР АЦЕТАТ (L03AX13);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ ИСКЛЮЧАЯ ИНТЕРФЕРОНЫ (L03A);ПРОЧИЕ ИММУНОСТИМУЛИРУЮЩИЕ АГЕНТЫ, ИСКЛЮЧАЯ ИНТЕРФЕРОНЫ (L03A9);2021;6;7942546.2;6207.0;7467869.4;1203.1366843885935;недостаток;входит;избыток
81;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;ГЛАТИРАТ РАСТ Д/П/К ВВЕД 20 МГ/МЛ 1 МЛ №28;ГЛАТИРАМЕРА АЦЕТАТ;РАСТВОР ДЛЯ ПОДКОЖНОГО ВВЕДЕНИЯ;ГЛАТИРАТ;Р-ФАРМ АО;Р-ФАРМ АО;ИММУНОМОДУЛИРУЮЩЕЕ СРЕДСТВО;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИММУНОСТИМУЛЯТОРЫ ДРУГИЕ (L03AX);ГЛАТИРАМЕР АЦЕТАТ (L03AX13);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ ИСКЛЮЧАЯ ИНТЕРФЕРОНЫ (L03A);ПРОЧИЕ ИММУНОСТИМУЛИРУЮЩИЕ АГЕНТЫ, ИСКЛЮЧАЯ ИНТЕРФЕРОНЫ (L03A9);2021;1;3181705.4;3959.0;2903013.6;733.2694114675423;недостаток;входит;избыток
90;ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ;ГЛАТИРАТ РАСТ Д/П/К ВВЕД 20 МГ/МЛ 1 МЛ №28;ГЛАТИРАМЕРА АЦЕТАТ;РАСТВОР ДЛЯ ПОДКОЖНОГО ВВЕДЕНИЯ;ГЛАТИРАТ;Р-ФАРМ АО;Р-ФАРМ АО;ИММУНОМОДУЛИРУЮЩЕЕ СРЕДСТВО;ПРОТИВООПУХОЛЕВЫЕ ПРЕПАРАТЫ И ИММУНОМОДУЛЯТОРЫ (L);ИММУНОМОДУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ (L03A);ИММУНОСТИМУЛЯТОРЫ ДРУГИЕ (L03AX);ГЛАТИРАМЕР АЦЕТАТ (L03AX13);ПРОТИВООПУХОЛЕВЫЕ И ИММУНОМОДУЛИРУЮЩИЕ СРЕДСТВА (L);ИММУНОСТИМУЛЯТОРЫ (L03);ИММУНОСТИМУЛЯТОРЫ ИСКЛЮЧАЯ ИНТЕРФЕРОНЫ (L03A);ПРОЧИЕ ИММУНОСТИМУЛИРУЮЩИЕ АГЕНТЫ, ИСКЛЮЧАЯ ИНТЕРФЕРОНЫ (L03A9);2021;2;30923568.0;3334.2;30923568.0;9274.658988662948;избыток;избыток;избыток
